id,sucursal_id,saldo_total_sucursal,caja_teorica_sucursal,total_atm,total_ats,total_tesoro,total_cajas_ventanilla,total_buzon_depositos,total_recaudacion,total_caja_chica,total_otros,direccion_sucursal,latitud,longitud,observacion,medido_en,sucursal_numero,sucursal_nombre,telefonos,calle,altura,barrio,comuna,codigo_postal,codigo_postal_argentino
21,SUC-385,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,CORRIENTES 1102,-34.603835046033,-58.382419895434,,2025-09-21 21:21:08.237651+00,5,Microcentro,4382-1405/4382-5113/4382-8595/4382-9306,CORRIENTES,1102,San Nicolas,1,1043,C1043AAY
22,SUC-361,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,CORRIENTES 2249,-34.604526978674,-58.398842186953,,2025-09-21 21:21:08.237651+00,111,Balvanera,4952-4304/4952-8300/4953-5440/4954-0049/4954-0051,CORRIENTES,2249,Balvanera,3,1046,C1046AAA
23,SUC-358,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,CORRIENTES 4694,-34.602164606538,-58.431781597104,,2025-09-21 21:21:08.237651+00,106,Almagro,4862-4193/4862-5185/4863-2632/4866-1331,CORRIENTES,4694,Almagro,5,1195,C1195AAS
24,SUC-357,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,CORRIENTES 3399,-34.604048903512,-58.412937567544,,2025-09-21 21:21:08.237651+00,7,Abasto,4861-4285/4862-1800/4865-3708/4866-1339/4866-1342,CORRIENTES,3399,Balvanera,3,1193,C1193AAF
25,SUC-430,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,CUENCA 3401,-34.598448035694,-58.497412614558,,2025-09-21 21:21:08.237651+00,326,Villa Del Parque,4502-0062/4502-1460/4503-6017/4503-6267,CUENCA,3401,Villa Del Parque,11,1417,C1417ABG
26,SUC-392,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DE MAYO 1165,-34.609092961873,-58.383132064589,,2025-09-21 21:21:08.237651+00,329,Microcentro,4381-8755/4383-9669/4384-9449,DE MAYO,1165,Monserrat,1,1085,C1085ABB
27,SUC-399,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DE MAYO AV 782,-34.608853773017,-58.377376630753,,2025-09-21 21:21:08.237651+00,44,Monserrat,4345-3315/4345-3316/4345-3317/4345-3321,DE MAYO AV,782,Monserrat,1,1084,C1084AAP
28,SUC-417,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DEL LIBERTADOR 2166,-34.581624148128,-58.403433778404,,2025-09-21 21:21:08.237651+00,304,Recoleta,4802-7674/4802-5005/4802-0973,DEL LIBERTADOR,2166,Palermo,14,1425,C1425AAU
29,SUC-364,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DEL LIBERTADOR 6156,-34.555311903261,-58.449037575496,,2025-09-21 21:21:08.237651+00,16,Belgrano,4783-1922/4788-9305 /4788-9306,DEL LIBERTADOR,6156,Belgrano,13,1428,C1428ARR
30,SUC-405,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DIAZ CNEL 2257,-34.586001298593,-58.407833331143,,2025-09-21 21:21:08.237651+00,108,Palermo,4824-3013/4824-7264/4824-4654,DIAZ CNEL,2257,Recoleta,2,1425,C1425DQI
31,SUC-373,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DIAZ VELEZ 5253,-34.608722724489,-58.440813387055,,2025-09-21 21:21:08.237651+00,184,Caballito,4982-6376/4982-7827/4958-34.37/4958- 6512,DIAZ VELEZ,5253,Caballito,6,1405,C1405DCH
32,SUC-366,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ELCANO 3107,-34.572126447635,-58.458954343674,,2025-09-21 21:21:08.237651+00,186,Belgrano,4552-0364/4552-0436/4552-0443/4552-0447,ELCANO,3107,Colegiales,13,1426,C1426EJC
33,SUC-398,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ENTRE RIOS 466,-34.614468020065,-58.391591144883,,2025-09-21 21:21:08.237651+00,43,Monserrat,4381-8899/4381-4274/4383-7007/4383-4153,ENTRE RIOS,466,Monserrat,1,1079,C1079ABR
34,SUC-389,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ESMERALDA 199,-34.606155735533,-58.377883435991,,2025-09-21 21:21:08.237651+00,155,Microcentro,4394-3223/4394-4105/4394-4125/4394-4578/4394-4655,ESMERALDA,199,San Nicolas,1,1035,C1035ABC
35,SUC-377,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,GAONA 2508,-34.614950888106,-58.462031934203,,2025-09-21 21:21:08.237651+00,149,Flores,4581-9717/4582-1619/4584-5758,GAONA,2508,Flores,7,1416,C1416DSN
36,SUC-381,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,GARCIA MARTIN 702,-34.632824210308,-58.373748020829,,2025-09-21 21:21:08.237651+00,56,La Boca,4362-6579/4362-6617/4362-6676,GARCIA MARTIN,702,Barracas,4,1268,C1268ABQ
37,SUC-372,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,GOYENA PEDRO 1200,-34.627031126755,-58.444239253389,,2025-09-21 21:21:08.237651+00,179,Caballito,4431-1541/4431-1260/4431-1913/4431-1266,GOYENA PEDRO,1200,Caballito,6,1406,C1406GWN
38,SUC-375,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,IRIGOYEN BERNARDO DE 1600,-34.627231912416,-58.378478838944,,2025-09-21 21:21:08.237651+00,6,Constitucion,4300-2891/4307-3501/4307-9422/4307-9934,IRIGOYEN BERNARDO DE,1600,Constitucion,1,1138,C1138ABH
39,SUC-378,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,JUSTO JUAN B 7132,-34.627298399249,-58.491314079635,,2025-09-21 21:21:08.237651+00,25,Floresta,4636-1045/4636-1049/4671-4054/4671-6134/4671-7464,JUSTO JUAN B,7132,Velez Sarsfield,10,1407,C1407FAW
40,SUC-371,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LA PLATA 1805,-34.635808412332,-58.424739453693,,2025-09-21 21:21:08.237651+00,173,Caballito,4923-5687/4923-5706/4923-5725/4923-5782,LA PLATA,1805,Parque Chacabuco,7,1250,C1250AAI
41,SUC-360,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LA PLATA 510,-34.620873911098,-58.427925134366,,2025-09-21 21:21:08.237651+00,306,Almagro,4981-0374/4982-0310/4983-0286/4983- 8381,LA PLATA,510,Almagro,5,1235,C1235ABP
