camion,orden,sucursal_id,sucursal_nombre,latitud,longitud,ratio
truck-1,0,SUC-417,Recoleta,-34.581624148128,-58.403433778404,-0.46
truck-1,1,SUC-419,Recoleta,-34.59027705552,-58.385274096172,0.64
truck-1,2,SUC-422,Retiro,-34.596636050906,-58.387036330119,0.62
truck-1,3,SUC-421,Retiro,-34.595081576842,-58.379204531844,0.73
truck-1,4,SUC-394,Microcentro,-34.601452960798,-58.36730435591,0.69
truck-1,5,SUC-388,Microcentro,-34.604377632666,-58.372273285312,0.52
truck-1,6,BOVEDA,Boveda Central,-34.6073508,-58.3722956,0
truck-2,0,SUC-402,Nu̱ez,-34.54978796129,-58.467691996397,-0.7
truck-2,1,SUC-436,Villa Urquiza,-34.570912313812,-58.490538227253,0.51
truck-2,2,SUC-367,Belgrano,-34.562062115425,-58.466385173961,0.5
truck-2,3,SUC-365,Belgrano,-34.56527726854,-58.453916491288,0.68
truck-2,4,SUC-427,Villa Crespo,-34.59368751355,-58.43082826317,0.6
truck-2,5,SUC-414,Recoleta,-34.595897077038,-58.39051695769,0.53
truck-2,6,SUC-385,Microcentro,-34.603835046033,-58.382419895434,0.79
truck-2,7,BOVEDA,Boveda Central,-34.6073508,-58.3722956,0
truck-3,0,SUC-430,Villa Del Parque,-34.598448035694,-58.497412614558,-0.54
truck-3,1,SUC-429,Villa Del Parque,-34.604307971365,-58.494147502933,0.71
truck-3,2,SUC-358,Almagro,-34.602164606538,-58.431781597104,0.42
truck-3,3,SUC-396,Microcentro,-34.606118988097,-58.392059501892,0.63
truck-3,4,SUC-393,Microcentro,-34.604000290414,-58.38661267782,0.78
truck-3,5,SUC-389,Microcentro,-34.606155735533,-58.377883435991,0.68
truck-3,6,BOVEDA,Boveda Central,-34.6073508,-58.3722956,0
truck-4,0,SUC-382,Liniers,-34.638978894884,-58.522244136073,-0.68
truck-4,1,SUC-384,Mataderos,-34.655595183244,-58.507384893964,0.48
truck-4,2,SUC-376,Flores,-34.626963436048,-58.45764223678,0.66
truck-4,3,SUC-392,Microcentro,-34.609092961873,-58.383132064589,0.41
truck-4,4,BOVEDA,Boveda Central,-34.6073508,-58.3722956,0
truck-5,0,SUC-433,Villa Lugano,-34.677934037742,-58.474852612472,-0.62
truck-5,1,SUC-401,Nueva Pompeya,-34.653771228373,-58.416192298448,0.66
truck-5,2,SUC-411,Parque Patricios,-34.636025458182,-58.405985535203,0.41
truck-5,3,SUC-381,La Boca,-34.632824210308,-58.373748020829,0.63
truck-5,4,SUC-375,Constitucion,-34.627231912416,-58.378478838944,0.66
truck-5,5,BOVEDA,Boveda Central,-34.6073508,-58.3722956,0
