camion,orden,sucursal_id,sucursal_nombre,latitud,longitud,ratio
1,1,SUC-395,Microcentro,-34.605742273605,-58.374861899371,-0.5
1,2,SUC-423,Retiro,-34.595941519466,-58.372277679593,-0.74
1,3,SUC-408,Palermo,-34.587120640939,-58.39774201089,-0.52
1,4,SUC-417,Recoleta,-34.581624148128,-58.403433778404,-0.46
2,1,SUC-406,Palermo,-34.593405648808,-58.40486630611,-0.76
2,2,SUC-405,Palermo,-34.586001298593,-58.407833331143,-0.47
2,3,SUC-407,Palermo,-34.585342532139,-58.416438036116,-0.79
2,4,SUC-402,Nu̱ez,-34.54978796129,-58.467691996397,-0.7
3,1,SUC-420,Recoleta,-34.598324726336,-58.403581513572,-0.65
3,2,SUC-437,Villa Urquiza,-34.577841739044,-58.481082208308,-0.44
3,3,SUC-435,Villa Pueyrredon,-34.585815219305,-58.501259182778,-0.64
3,4,SUC-430,Villa Del Parque,-34.598448035694,-58.497412614558,-0.54
4,1,SUC-398,Monserrat,-34.614468020065,-58.391591144883,-0.71
4,2,SUC-377,Flores,-34.614950888106,-58.462031934203,-0.62
4,3,SUC-432,Villa Gral Mitre,-34.612215670425,-58.480906769983,-0.52
4,4,SUC-382,Liniers,-34.638978894884,-58.522244136073,-0.68
5,1,SUC-413,Puerto Madero,-34.608032291489,-58.366540492496,-0.67
5,2,SUC-363,Barracas,-34.640846283874,-58.374300853379,-0.61
5,3,SUC-410,Parque Chacabuco,-34.634526983677,-58.435622187268,-0.46
5,4,SUC-433,Villa Lugano,-34.677934037742,-58.474852612472,-0.62
